From,To,TransportMode,Year,Flow
StorageSite1,CaptureSite2,pipeline,11,24.999999999999176
StorageSite1,CaptureSite2,pipeline,12,25.00000000000139
StorageSite1,CaptureSite2,pipeline,13,25.0
StorageSite1,CaptureSite2,pipeline,14,24.999999999998067
StorageSite1,CaptureSite2,pipeline,15,24.999999999999147
StorageSite1,CaptureSite2,pipeline,16,25.0
StorageSite1,CaptureSite2,pipeline,17,25.0
StorageSite1,CaptureSite2,pipeline,18,25.0
StorageSite1,CaptureSite2,pipeline,19,25.0
StorageSite1,CaptureSite2,pipeline,20,25.0
StorageSite1,CaptureSite2,pipeline,21,25.0
StorageSite1,CaptureSite2,pipeline,22,25.00000000000169
StorageSite1,CaptureSite2,pipeline,23,25.0
StorageSite1,CaptureSite2,pipeline,24,25.0
StorageSite1,CaptureSite2,pipeline,25,25.0
StorageSite1,CaptureSite3,truck,0,0.0
StorageSite1,CaptureSite3,truck,1,0.0
StorageSite1,CaptureSite3,truck,2,0.0
StorageSite1,CaptureSite3,truck,3,0.0
StorageSite1,CaptureSite3,truck,4,0.0
StorageSite1,CaptureSite3,truck,5,0.0
StorageSite1,CaptureSite3,truck,6,0.0
StorageSite1,CaptureSite3,truck,7,0.0
StorageSite1,CaptureSite3,truck,8,0.0
StorageSite1,CaptureSite3,truck,9,0.0
StorageSite1,CaptureSite3,truck,10,0.0
StorageSite1,CaptureSite3,truck,11,-2.5083733254312507e-11
StorageSite1,CaptureSite3,truck,12,0.0
StorageSite1,CaptureSite3,truck,13,0.0
StorageSite1,CaptureSite3,truck,14,0.0
StorageSite1,CaptureSite3,truck,15,0.0
StorageSite1,CaptureSite3,truck,16,0.0
StorageSite1,CaptureSite3,truck,17,0.0
StorageSite1,CaptureSite3,truck,18,0.0
StorageSite1,CaptureSite3,truck,19,0.0
StorageSite1,CaptureSite3,truck,20,0.0
StorageSite1,CaptureSite3,truck,21,0.0
StorageSite1,CaptureSite3,truck,22,0.0
StorageSite1,CaptureSite3,truck,23,0.0
StorageSite1,CaptureSite3,truck,24,0.0
StorageSite1,CaptureSite3,truck,25,0.0
StorageSite1,CaptureSite3,rail,0,0.0
StorageSite1,CaptureSite3,rail,1,0.0
StorageSite1,CaptureSite3,rail,2,0.0
StorageSite1,CaptureSite3,rail,3,0.0
StorageSite1,CaptureSite3,rail,4,0.0
StorageSite1,CaptureSite3,rail,5,0.0
StorageSite1,CaptureSite3,rail,6,0.0
StorageSite1,CaptureSite3,rail,7,0.0
StorageSite1,CaptureSite3,rail,8,0.0
StorageSite1,CaptureSite3,rail,9,0.0
StorageSite1,CaptureSite3,rail,10,0.0
StorageSite1,CaptureSite3,rail,11,0.0
StorageSite1,CaptureSite3,rail,12,0.0
StorageSite1,CaptureSite3,rail,13,0.0
StorageSite1,CaptureSite3,rail,14,0.0
StorageSite1,CaptureSite3,rail,15,0.0
StorageSite1,CaptureSite3,rail,16,0.0
StorageSite1,CaptureSite3,rail,17,0.0
StorageSite1,CaptureSite3,rail,18,0.0
StorageSite1,CaptureSite3,rail,19,0.0
StorageSite1,CaptureSite3,rail,20,0.0
StorageSite1,CaptureSite3,rail,21,0.0
StorageSite1,CaptureSite3,rail,22,0.0
StorageSite1,CaptureSite3,rail,23,0.0
StorageSite1,CaptureSite3,rail,24,0.0
StorageSite1,CaptureSite3,rail,25,0.0
StorageSite1,CaptureSite3,pipeline,0,160.0
StorageSite1,CaptureSite3,pipeline,1,250.00000000000193
StorageSite1,CaptureSite3,pipeline,2,250.00000000000193
StorageSite1,CaptureSite3,pipeline,3,92.80000000000851
StorageSite1,CaptureSite3,pipeline,4,250.0
StorageSite1,CaptureSite3,pipeline,5,250.00000000000193
StorageSite1,CaptureSite3,pipeline,6,25.59999999999809
StorageSite1,CaptureSite3,pipeline,7,228.20000000000005
StorageSite1,CaptureSite3,pipeline,8,205.79999999999995
StorageSite1,CaptureSite3,pipeline,9,183.40000000000003
StorageSite1,CaptureSite3,pipeline,10,161.0
StorageSite1,CaptureSite3,pipeline,11,138.60000000002518
StorageSite1,CaptureSite3,pipeline,12,116.19999999999999
StorageSite1,CaptureSite3,pipeline,13,93.80000000000001
StorageSite1,CaptureSite3,pipeline,14,71.39999999999998
StorageSite1,CaptureSite3,pipeline,15,49.0
StorageSite1,CaptureSite3,pipeline,16,40.0
StorageSite1,CaptureSite3,pipeline,17,40.0
StorageSite1,CaptureSite3,pipeline,18,40.0
StorageSite1,CaptureSite3,pipeline,19,40.0
StorageSite1,CaptureSite3,pipeline,20,40.0
StorageSite1,CaptureSite3,pipeline,21,40.0
StorageSite1,CaptureSite3,pipeline,22,40.000000000008555
StorageSite1,CaptureSite3,pipeline,23,40.0
